Run,Tries,Converged,Best likelihood,Number of accepted,Mean EF,Date
250514_Bayesian_2,3,False,-4868.283888591234,1,-222.53176900603094,2025-05-14 20:53:07
250517_Bayesian,3,False,-4757.9217491520985,2,-217.2185864536058,2025-05-17 10:22:51
250517_Bayesian_1,10000,False,-1203.819720049546,3632,-31.123251668023908,2025-05-18 21:34:35
250519_Bayesian_3,10000,False,-346.5310443948534,7316,-11.204239549057702,2025-05-20 04:25:35
250520_Bayesian,10000,False,-286.6200550289392,8494,-7.466610674053453,2025-05-21 00:21:53
250521_Bayesian,10,False,-308.6683266809412,7,-8.43002803240294,2025-05-21 09:09:39
250522_Bayesian,10000,False,-334.5118107140465,7028,-8.769030127320146,2025-05-23 13:10:03
250527_Bayesian,3,False,-5949.337631039218,3,-21.28811577305541,2025-05-27 12:08:11
250527_Bayesian_1,3,False,-6570.37602990329,1,-22.939766168007868,2025-05-27 12:24:26
250527_Bayesian_3,10,False,-5739.582591441014,7,-20.98070426842497,2025-05-27 12:31:40
250527_Bayesian_1,10000,False,-322.47034909289306,6140,-8.719806740541857,2025-05-28 08:30:16
250528_Bayesian,10,False,-324.1614088911288,6,-18.460935383859837,2025-05-28 09:06:22
250529_Bayesian,10,False,-324.6281520370448,6,-18.702615141392215,2025-05-29 08:43:24
250602_Bayesian_3,10,False,-302.09318665376384,6,-21.04319645187775,2025-06-02 09:22:10
250602_Bayesian_4,10,False,-301.9330612229927,6,-20.974776768444382,2025-06-02 09:32:45
250603_Bayesian,10,False,-302.0490461654389,4,-21.035442065232566,2025-06-03 09:17:06
250603_Bayesian_1,10,False,-523.027122297771,6,-19.25220584425104,2025-06-03 09:27:02
250603_Bayesian_2,1,False,-528.7468961387938,1,-19.209693866805825,2025-06-03 09:34:52
250603_Bayesian_5,10,False,-2276.1450474569383,6,-26.44635035634215,2025-06-03 09:40:27
250603_Bayesian_10,1000,False,-313.8114877579316,650,-21.94064248872442,2025-06-03 11:51:50
250603_Bayesian_13,10,False,-11347.00219319641,4,-127.62830283474248,2025-06-03 12:05:30
250603_Bayesian_17,10,False,-334.5890867753656,35,-107.70799991461264,2025-06-03 17:37:02
250603_Bayesian_21,10,False,-317.3290594870492,15,-8.898245082744669,2025-06-03 19:56:15
250603_Bayesian_22,10,False,-318.6507511517301,17,-34.57032382192894,2025-06-03 20:08:00
250603_Bayesian_23,10,False,-317.8812936116244,18,-6724.987209130012,2025-06-03 20:11:58
250604_Bayesian,10,False,-314375.0511516101,6,-771.8602982771608,2025-06-04 09:49:30
250604_Bayesian_2,1000,False,-163.99766543263405,571,-221.70623780569363,2025-06-04 12:18:47
250604_Bayesian_18,10,False,-39741.13809317016,3,-2893.9519185759345,2025-06-04 15:15:06
250605_Bayesian_2,10,False,-39744.96324005254,4,-2870.183465242977,2025-06-05 17:37:25
250606_Bayesian_1,10000,False,-545.0729242281141,600,-35.59051358922546,2025-06-07 04:34:15
250607_Bayesian,1000,False,-304.95995698237624,216,-16.831001740857257,2025-06-07 13:26:09
250607_Bayesian_1,1000,False,-253.24853434819903,369,-15.65972812534006,2025-06-07 19:01:43
250608_Bayesian,1000,False,-251.6343401981924,632,-15.8650512800119,2025-06-08 13:02:47
